<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.14	1.36669	1.36983	1.36485	1.36661	58248	0	0
2014.01.15	1.36665	1.36723	1.35807	1.35986	60319	0	0
2014.01.16	1.35990	1.36487	1.35827	1.36145	72629	0	0
2014.01.17	1.36129	1.36205	1.35166	1.35382	64588	0	0
2014.01.19	1.35365	1.35396	1.35238	1.35264	1682	0	0
2014.01.20	1.35266	1.35674	1.35065	1.35449	53297	0	0
2014.01.21	1.35442	1.35681	1.35157	1.35564	70790	0	0
2014.01.22	1.35555	1.35832	1.35341	1.35432	36890	0	0
2014.01.23	1.35433	1.36973	1.35293	1.36871	80798	0	0
2014.01.24	1.36872	1.37375	1.36621	1.36706	87064	0	0
2014.01.26	1.36718	1.36897	1.36685	1.36860	3697	0	0
2014.01.27	1.36856	1.37156	1.36526	1.36738	66727	0	0
2014.01.28	1.36738	1.36869	1.36286	1.36538	49523	0	0
2014.01.29	1.36536	1.36845	1.36027	1.36564	37209	0	0
2014.01.30	1.36558	1.36619	1.35427	1.35565	70234	0	0
2014.01.31	1.35548	1.35714	1.34789	1.34843	73287	0	0
2014.02.02	1.34822	1.34901	1.34779	1.34864	3313	0	0
2014.02.03	1.34865	1.35350	1.34767	1.35216	83151	0	0
2014.02.04	1.35212	1.35381	1.34926	1.35150	63626	0	0
2014.02.05	1.35148	1.35543	1.34985	1.35329	68602	0	0
2014.02.06	1.35334	1.36184	1.34820	1.35909	75403	0	0
2014.02.07	1.35889	1.36425	1.35516	1.36339	63196	0	0
2014.02.09	1.36097	1.36261	1.36081	1.36178	2366	0	0
2014.02.10	1.36181	1.36510	1.36178	1.36444	46333	0	0
2014.02.11	1.36447	1.36825	1.36289	1.36356	63804	0	0
2014.02.12	1.36358	1.36521	1.35617	1.35867	37554	0	0
2014.02.13	1.35869	1.36911	1.35847	1.36753	72662	0	0
2014.02.14	1.36772	1.37142	1.36729	1.36906	55217	0	0
2014.02.16	1.37057	1.37141	1.36940	1.37031	1239	0	0
2014.02.17	1.37023	1.37233	1.36912	1.37030	26230	0	0
2014.02.18	1.37034	1.37692	1.36939	1.37595	61263	0	0
2014.02.19	1.37596	1.37725	1.37237	1.37285	56370	0	0
2014.02.20	1.37303	1.37621	1.36853	1.37197	63827	0	0
2014.02.21	1.37189	1.37577	1.37015	1.37371	53129	0	0
2014.02.23	1.37291	1.37406	1.37244	1.37363	1118	0	0
2014.02.24	1.37368	1.37707	1.37079	1.37337	54231	0	0
2014.02.25	1.37329	1.37663	1.37148	1.37449	51692	0	0
2014.02.26	1.37450	1.37565	1.36611	1.36801	64184	0	0
2014.02.27	1.36806	1.37256	1.36427	1.37055	66790	0	0
2014.02.28	1.37054	1.38238	1.36936	1.37999	74718	0	0
2014.03.02	1.37803	1.37870	1.37529	1.37732	4650	0	0
2014.03.03	1.37736	1.37922	1.37254	1.37345	60747	0	0
2014.03.04	1.37346	1.37808	1.37200	1.37410	58371	0	0
2014.03.05	1.37402	1.37479	1.37068	1.37307	50682	0	0
2014.03.06	1.37304	1.38724	1.37208	1.38624	71416	0	0
2014.03.07	1.38617	1.39144	1.38516	1.38749	61100	0	0
2014.03.09	1.38738	1.38788	1.38692	1.38767	2038	0	0
2014.03.10	1.38768	1.38972	1.38610	1.38749	48333	0	0
2014.03.11	1.38749	1.38762	1.38331	1.38555	49626	0	0
2014.03.12	1.38558	1.39137	1.38427	1.39014	56975	0	0
2014.03.13	1.39015	1.39664	1.38450	1.38642	93412	0	0
2014.03.14	1.38636	1.39368	1.38470	1.39064	60471	0	0
2014.03.16	1.39014	1.39159	1.39014	1.39081	2815	0	0
2014.03.17	1.39068	1.39471	1.38786	1.39242	52569	0	0
2014.03.18	1.39247	1.39420	1.38792	1.39281	57639	0	0
2014.03.19	1.39287	1.39317	1.38093	1.38172	66539	0	0
2014.03.20	1.38183	1.38443	1.37486	1.37776	67888	0	0
2014.03.21	1.37784	1.38101	1.37651	1.37871	44134	0	0
2014.03.23	1.37969	1.38051	1.37870	1.37960	2116	0	0
2014.03.24	1.37951	1.38751	1.37599	1.38354	56922	0	0
2014.03.25	1.38350	1.38464	1.37484	1.38190	69038	0	0
2014.03.26	1.38193	1.38225	1.37761	1.37849	44198	0	0
2014.03.27	1.37839	1.37961	1.37281	1.37397	65450	0	0
2014.03.28	1.37390	1.37723	1.37042	1.37488	50437	0	0
2014.03.30	1.37618	1.37619	1.37442	1.37521	2023	0	0
2014.03.31	1.37492	1.38057	1.37207	1.37730	63854	0	0
2014.04.01	1.37725	1.38147	1.37682	1.37925	49271	0	0
2014.04.02	1.37918	1.38196	1.37528	1.37657	48039	0	0
2014.04.03	1.37660	1.38049	1.36976	1.37218	64692	0	0
2014.04.04	1.37208	1.37305	1.36721	1.37014	56100	0	0
2014.04.06	1.36981	1.37033	1.36952	1.37030	636	0	0
2014.04.07	1.37029	1.37480	1.36965	1.37411	38579	0	0
2014.04.08	1.37414	1.38112	1.37368	1.37920	59141	0	0
2014.04.09	1.37914	1.38609	1.37794	1.38515	63613	0	0
2014.04.10	1.38514	1.38986	1.38355	1.38857	62452	0	0
2014.04.11	1.38860	1.39049	1.38629	1.38841	51960	0	0
2014.04.13	1.38482	1.38594	1.38410	1.38460	2297	0	0
2014.04.14	1.38459	1.38624	1.38076	1.38146	58335	0	0
2014.04.15	1.38148	1.38327	1.37895	1.38100	55596	0	0
2014.04.16	1.38092	1.38504	1.38032	1.38229	51503	0	0
2014.04.17	1.38230	1.38642	1.38087	1.38098	48214	0	0
2014.04.18	1.38102	1.38217	1.38063	1.38076	12547	0	0
2014.04.20	1.38140	1.38161	1.38097	1.38134	1296	0	0
2014.04.21	1.38133	1.38299	1.37865	1.37907	24029	0	0
2014.04.22	1.37911	1.38242	1.37844	1.38060	42471	0	0
2014.04.23	1.38062	1.38542	1.37995	1.38161	30966	0	0
2014.04.24	1.38157	1.38420	1.37908	1.38295	51746	0	0
2014.04.25	1.38290	1.38477	1.38261	1.38329	37090	0	0
2014.04.27	1.38410	1.38422	1.38340	1.38380	1597	0	0
2014.04.28	1.38371	1.38789	1.38136	1.38509	53133	0	0
2014.04.29	1.38515	1.38786	1.38051	1.38119	49839	0	0
2014.04.30	1.38125	1.38761	1.37729	1.38672	40047	0	0
2014.05.01	1.38679	1.38887	1.38623	1.38690	36571	0	0
2014.05.02	1.38687	1.38808	1.38117	1.38699	48806	0	0
2014.05.04	1.38826	1.38826	1.38698	1.38708	1375	0	0
2014.05.05	1.38709	1.38855	1.38634	1.38738	25946	0	0
2014.05.06	1.38739	1.39506	1.38715	1.39283	53148	0	0
2014.05.07	1.39275	1.39380	1.39081	1.39095	46875	0	0
2014.05.08	1.39096	1.39927	1.38321	1.38417	72292	0	0
2014.05.09	1.38420	1.38429	1.37444	1.37539	59347	0	0
2014.05.11	1.37562	1.37601	1.37548	1.37594	1732	0	0
2014.05.12	1.37600	1.37744	1.37486	1.37546	42104	0	0
2014.05.13	1.37547	1.37710	1.36883	1.37069	71373	0	0
2014.05.14	1.37064	1.37303	1.36973	1.37167	61631	0	0
2014.05.15	1.37162	1.37317	1.36476	1.37159	43654	0	0
2014.05.16	1.37160	1.37259	1.36849	1.36913	44924	0	0
2014.05.18	1.36908	1.37021	1.36908	1.37020	1515	0	0
2014.05.19	1.37013	1.37337	1.36978	1.37114	51307	0	0
2014.05.20	1.37108	1.37130	1.36773	1.37025	48455	0	0
2014.05.21	1.37021	1.37226	1.36334	1.36809	58534	0	0
2014.05.22	1.36817	1.36866	1.36449	1.36523	56056	0	0
2014.05.23	1.36519	1.36521	1.36151	1.36281	50989	0	0
2014.05.25	1.36188	1.36281	1.36117	1.36268	2763	0	0
2014.05.26	1.36261	1.36539	1.36150	1.36512	33305	0	0
2014.05.27	1.36512	1.36679	1.36119	1.36326	54442	0	0
2014.05.28	1.36334	1.36373	1.35877	1.35910	33928	0	0
2014.05.29	1.35915	1.36250	1.35855	1.36018	52134	0	0
2014.05.30	1.36021	1.36495	1.35976	1.36289	48415	0	0
2014.06.01	1.36343	1.36352	1.36203	1.36279	1858	0	0
2014.06.02	1.36271	1.36355	1.35878	1.35954	53291	0	0
2014.06.03	1.35959	1.36472	1.35855	1.36201	59181	0	0
2014.06.04	1.36199	1.36382	1.35959	1.36016	60589	0	0
2014.06.05	1.36016	1.36693	1.35025	1.36595	94378	0	0
2014.06.06	1.36586	1.36760	1.36204	1.36410	59393	0	0
2014.06.08	1.36413	1.36475	1.36393	1.36468	1599	0	0
2014.06.09	1.36463	1.36682	1.35819	1.35915	46464	0	0
2014.06.10	1.35916	1.36013	1.35329	1.35382	55975	0	0
2014.06.11	1.35383	1.35565	1.35207	1.35347	53792	0	0
2014.06.12	1.35352	1.35714	1.35119	1.35497	62247	0	0
2014.06.13	1.35499	1.35785	1.35204	1.35377	52527	0	0
2014.06.15	1.35379	1.35392	1.35302	1.35349	2351	0	0
2014.06.16	1.35354	1.35787	1.35124	1.35747	43301	0	0
2014.06.17	1.35750	1.35863	1.35359	1.35478	43393	0	0
2014.06.18	1.35480	1.35977	1.35413	1.35885	65371	0	0
2014.06.19	1.35881	1.36430	1.35835	1.36092	54108	0	0
2014.06.20	1.36073	1.36333	1.35637	1.35973	41495	0	0
2014.06.22	1.35902	1.35954	1.35897	1.35901	2177	0	0
2014.06.23	1.35894	1.36131	1.35733	1.35991	44459	0	0
2014.06.24	1.35991	1.36273	1.35830	1.36050	44214	0	0
2014.06.25	1.36051	1.36503	1.36000	1.36270	45360	0	0
2014.06.26	1.36269	1.36410	1.35752	1.36106	45964	0	0
2014.06.27	1.36100	1.36499	1.36093	1.36480	42836	0	0
2014.06.29	1.36409	1.36469	1.36399	1.36425	1289	0	0
2014.06.30	1.36419	1.36972	1.36399	1.36906	43985	0	0
2014.07.01	1.36908	1.37000	1.36749	1.36793	43663	0	0
2014.07.02	1.36795	1.36808	1.36400	1.36522	40752	0	0
2014.07.03	1.36523	1.36636	1.35954	1.36078	48545	0	0
2014.07.04	1.36072	1.36106	1.35848	1.35935	26384	0	0
2014.07.06	1.35942	1.35957	1.35830	1.35871	2869	0	0
2014.07.07	1.35877	1.36086	1.35753	1.36048	35792	0	0
2014.07.08	1.36051	1.36169	1.35877	1.36159	41676	0	0
2014.07.09	1.36159	1.36478	1.36020	1.36424	51879	0	0
2014.07.10	1.36424	1.36503	1.35887	1.36032	56092	0	0
2014.07.11	1.36026	1.36243	1.35912	1.36048	39434	0	0
2014.07.13	1.36016	1.36063	1.35968	1.36012	2239	0	0
2014.07.14	1.36012	1.36397	1.35967	1.36208	37893	0	0
2014.07.15	1.36211	1.36276	1.35614	1.35697	63088	0	0
2014.07.16	1.35702	1.35704	1.35205	1.35271	47355	0	0
2014.07.17	1.35265	1.35396	1.35115	1.35177	46605	0	0
2014.07.18	1.35170	1.35355	1.34905	1.35232	53481	0	0
2014.07.20	1.35257	1.35311	1.35225	1.35296	2376	0	0
2014.07.21	1.35295	1.35485	1.35124	1.35211	44499	0	0
2014.07.22	1.35217	1.35288	1.34581	1.34658	55292	0	0
2014.07.23	1.34659	1.34738	1.34542	1.34603	39014	0	0
2014.07.24	1.34604	1.34843	1.34373	1.34643	53698	0	0
2014.07.25	1.34646	1.34751	1.34207	1.34286	47389	0	0
2014.07.27	1.34286	1.34334	1.34260	1.34278	2621	0	0
2014.07.28	1.34279	1.34435	1.34264	1.34365	35780	0	0
2014.07.29	1.34369	1.34438	1.34036	1.34089	44047	0	0
2014.07.30	1.34094	1.34145	1.33663	1.33936	71405	0	0
2014.07.31	1.33935	1.34001	1.33709	1.33881	54466	0	0
2014.08.01	1.33876	1.34442	1.33780	1.34245	61636	0	0
2014.08.03	1.34306	1.34306	1.34222	1.34270	1819	0	0
